"Product sold","Nb of reviews","Total Votes","Helpful votes","Nb of 5 star reviews","% of 5 star review","5 star reviews paid","5 star reviews unpaid","5 star reviews paid on verified purchase"
"Invicta Men's 6981 Pro Diver Analog Swiss Chronograph Black Polyurethane Watch",12,669,595,5,0,0,5,0
"Invicta Men's 6983 Pro Diver Collection Chronograph Blue Dial Black Polyurethane Watch",7,280,253,5,0,0,5,0
"Invicta Women's Mako Pro Diver Quartz 8942",8,306,283,5,0,0,5,0
"IWC Men's IW504207 Portuguese Tourbillon Myst?re Watch",8,895,794,5,0,0,5,0
"Men's Casio G-Shock RANGEMAN Master of G Series Green Resin Band Digital Watch",6,384,348,5,0,0,5,0
"Michael Kors Mens Runway Chronograph Watch MK8077",7,417,386,5,0,0,5,0
"Michael Kors Midsized Chronograph Gold Tone Womens Watch MK5055",6,467,402,5,0,0,5,0
"Michael Kors Womens Runway Logo Watch MK5544",5,243,233,5,100,0,5,0
"Millage Flying Tourbillon (3826) Collection",10,522,465,5,0,0,5,0
"Movado Men's 0606502 Museum Stainless Steel Watch with Black Leather Band",5,190,160,5,100,0,5,0
"Omega Men's 3570.50.00 Speedmaster Professional Watch with Stainless Steel Bracelet",6,661,620,5,0,0,5,0
"Seiko Men's Brown Dial Brown Leather Strap Chronograph Watch",7,224,202,5,0,0,5,0
"Seiko Men's SARB017 Mechanical Alpinist Analog  Automatic Self Wind Brown Watch",7,355,337,5,0,0,5,0
"Seiko Men's SGG711 Titanium Watch",9,545,487,5,0,0,5,0
"Seiko Men's SKA371 Kinetic Dive Analog Japanese Quartz Stainless Steel Silver Watch",7,362,340,5,0,0,5,0
"Seiko Men's SKX009K2 Diver's Analog Automatic Stainless Steel Watch",6,492,458,5,0,0,5,0
"Seiko Men's Two-Tone Stainless Steel Solar Watch",6,227,214,5,0,0,5,0
"Seiko - SGG709 (Size: men)",5,364,341,5,100,0,5,0
"Seiko SRP637 Men's Prospex Analog Automatic 200m Dive Stainless Steel Watch",5,268,255,5,100,0,5,0
"Seiko Women's Two-Tone White Dial Dress Calendar Watch",6,320,307,5,0,0,5,0
"Skagen Men's 233XLTTN Grenen Grey Titanium Mesh Watch",5,397,386,5,100,0,5,0
"Timex Boys Time Machines Digital Watch",9,491,466,5,0,0,5,0
"Timex Ironman Classic 30 Full-Size Watch",8,408,372,5,0,0,5,0
"Timex Men's Expedition Scout 40 Watch",7,409,369,5,0,0,5,0
"Timex Weekender 40mm Watch",6,298,282,5,0,0,5,0
"Timex Women's Ironman 30-Lap Digital Quartz Mid-Size Watch",8,506,478,5,0,0,5,0
"Zenith Academy Tourbillon Chronograph Men's Automatic Watch 18-1260-4005-02-C506",5,340,288,5,100,0,5,0
"Armitron Sport Men's 44mm Silvertone Black Chronograph Digital Watch",5,216,206,4,0,0,4,0
"Armitron Sport Women's 45/6984 Digital Chronograph Resin Strap Watch",4,199,191,4,100,0,4,0
"Armitron Sport Women's 45/7021WHT Watch",5,181,177,4,0,0,4,0
"Audemars Piguet Jules Audemars Tourbillion Silver Dial Mens Watch 26561BCOOD002CR01",5,388,315,4,0,0,4,0
"BesWLZ Technological Sense Binary Digital LED Waterproof Unisex Sports Wrist Watches Black",7,322,288,4,0,0,4,0
"Bulova Men's 96B104 Stainless Steel Dress Watch",7,332,274,4,0,0,4,0
"Casio EF106D-2AV Stainless Steel Watch",6,175,168,4,0,0,4,0
"Casio G-Shock GD-100-1B Watch",5,272,249,4,0,0,4,0
"Casio Men's A158WEA-9CF Casual Classic Digital Bracelet Watch",5,189,185,4,0,0,4,0
"Casio Men's A178WA-1A Illuminator Watch",5,334,311,4,0,0,4,0
"Casio Men's AE1200WHD-1A Stainless Steel Digital Watch",5,181,171,4,0,0,4,0
"Casio Men's AQS800WD-1EV Slim Solar Multi-Function Analog-Digital Watch",5,324,320,4,0,0,4,0
"Casio Men's EF106SG-2AV Edifice Two-Tone Stainless Steel Watch",5,163,154,4,0,0,4,0
"Casio Men's F108WH Illuminator Collection Black Resin Strap Digital Watch",6,240,230,4,0,0,4,0
"Casio Men's G7900-1 G-Shock Rescue Digital Sport Black Resin Watch",5,344,310,4,0,0,4,0
"Casio Men's GA-110TS-1A4 G-Shock Analog-Digital Watch With Grey Resin Band",4,182,165,4,100,0,4,0
"Casio Men's GD350-1B G Shock Black Watch",4,147,139,4,100,0,4,0
"Casio Men's GW3500B-1A G-Shock Aviator Series Analog-Digital Black and Yellow Watch",5,282,263,4,0,0,4,0
"Casio Men's GW9200-1 G-Shock Riseman Alti-Therm Solar Atomic Watch",6,430,380,4,0,0,4,0
"Casio Men's GW-9400BJ-1JF G-Shock Master of G Rangeman Digital Solar Black Carbon Fiber Insert Watch",4,141,126,4,100,0,4,0
"Casio Men's MQ24-1E Black Resin Watch",7,598,536,4,0,0,4,0
"Casio Men's MQ24-7E Casual Watch With Black Resin Band",4,271,258,4,100,0,4,0
"Casio Men's Pathfinder Triple Sensor Multi-Function Sport Watch Blue Nylon Strap",4,246,236,4,100,0,4,0
